[10, 277]
[103, 869]
[11, 549]
[111, 392]
[112, 504]
[116, 145]
[116, 692]
[116, 952]
[118, 285]
[119, 848]
[127, 142]
[128, 545]
[132, 522]
[133, 153]
[133, 235]
[133, 419]
[133, 828]
[135, 230]
[135, 403]
[14, 114]
[140, 435]
[141, 965]
[149, 220]
[149, 800]
[150, 546]
[153, 818]
[16, 617]
[166, 868]
[173, 440]
[178, 519]
[180, 109]
[181, 296]
[184, 448]
[185, 132]
[190, 460]
[191, 12]
[194, 857]
[196, 458]
[199, 824]
[2, 227]
[200, 187]
[203, 987]
[205, 12]
[205, 224]
[205, 435]
[206, 834]
[206, 858]
[208, 354]
[215, 902]
[218, 336]
[221, 266]
[228, 645]
[231, 896]
[235, 136]
[236, 606]
[241, 105]
[243, 50]
[246, 406]
[246, 872]
[246, 947]
[248, 602]
[252, 242]
[252, 913]
[253, 100]
[254, 172]
[259, 261]
[269, 866]
[27, 630]
[27, 713]
[273, 335]
[275, 839]
[276, 661]
[278, 563]
[280, 649]
[281, 279]
[281, 434]
[281, 940]
[284, 920]
[288, 195]
[290, 290]
[296, 229]
[296, 805]
[298, 736]
[299, 150]
[303, 476]
[303, 578]
[304, 490]
[307, 952]
[308, 658]
[309, 390]
[314, 923]
[321, 402]
[323, 818]
[326, 512]
[327, 202]
[330, 527]
[332, 926]
[333, 963]
[337, 751]
[338, 121]
[338, 137]
[339, 362]
[34, 734]
[340, 622]
[345, 200]
[347, 770]
[349, 642]
[351, 116]
[351, 649]
[352, 331]
[357, 342]
[358, 341]
[359, 89]
[362, 147]
[371, 593]
[373, 270]
[373, 860]
[376, 333]
[379, 719]
[379, 971]
[380, 98]
[383, 432]
[383, 635]
[385, 676]
[388, 947]
[389, 287]
[394, 96]
[397, 118]
[398, 224]
[399, 798]
[403, 60]
[406, 283]
[406, 666]
[408, 109]
[408, 63]
[413, 418]
[415, 601]
[416, 295]
[419, 572]
[419, 654]
[420, 227]
[421, 144]
[422, 684]
[425, 149]
[428, 357]
[430, 177]
[434, 245]
[437, 301]
[439, 323]
[44, 793]
[442, 406]
[444, 348]
[448, 470]
[45, 531]
[454, 814]
[456, 651]
[457, 762]
[458, 967]
[459, 54]
[46, 371]
[461, 392]
[461, 493]
[461, 746]
[462, 597]
[462, 772]
[463, 780]
[464, 363]
[464, 992]
[476, 30]
[478, 925]
[480, 487]
[480, 815]
[481, 818]
[484, 370]
[488, 569]
[49, 189]
[49, 969]
[492, 582]
[498, 700]
[498, 937]
[499, 478]
[500, 141]
[504, 18]
[504, 704]
[508, 215]
[51, 113]
[511, 672]
[512, 738]
[514, 694]
[516, 127]
[52, 967]
[528, 270]
[541, 643]
[542, 838]
[544, 551]
[545, 683]
[546, 662]
[548, 714]
[550, 960]
[553, 109]
[556, 667]
[558, 494]
[561, 601]
[564, 153]
[565, 470]
[566, 424]
[572, 706]
[586, 351]
[593, 778]
[597, 500]
[599, 94]
[60, 340]
[600, 482]
[601, 99]
[602, 308]
[602, 681]
[602, 847]
[609, 536]
[610, 636]
[610, 769]
[620, 296]
[623, 64]
[624, 299]
[629, 648]
[637, 233]
[640, 731]
[641, 534]
[641, 709]
[645, 994]
[656, 345]
[659, 140]
[661, 7]
[662, 950]
[663, 681]
[665, 722]
[667, 224]
[675, 10]
[675, 225]
[675, 826]
[680, 857]
[681, 304]
[682, 353]
[686, 836]
[690, 195]
[698, 488]
[698, 522]
[699, 753]
[7, 493]
[702, 261]
[713, 713]
[714, 569]
[714, 782]
[716, 94]
[716, 962]
[724, 613]
[728, 648]
[731, 186]
[734, 544]
[740, 126]
[744, 62]
[744, 941]
[745, 121]
[750, 635]
[752, 139]
[752, 410]
[754, 721]
[755, 282]
[755, 90]
[757, 153]
[76, 268]
[761, 877]
[761, 933]
[763, 586]
[769, 791]
[770, 693]
[780, 422]
[784, 28]
[787, 915]
[79, 261]
[790, 401]
[793, 200]
[793, 999]
[80, 973]
[805, 62]
[811, 491]
[811, 930]
[821, 403]
[821, 591]
[827, 104]
[827, 288]
[827, 802]
[827, 853]
[83, 309]
[831, 254]
[838, 662]
[84, 105]
[843, 900]
[846, 50]
[85, 692]
[852, 262]
[853, 585]
[853, 590]
[855, 707]
[856, 529]
[86, 112]
[863, 559]
[866, 868]
[871, 136]
[871, 673]
[871, 925]
[874, 842]
[876, 320]
[877, 442]
[877, 573]
[878, 53]
[884, 49]
[884, 81]
[885, 970]
[894, 804]
[894, 829]
[896, 559]
[9, 544]
[900, 601]
[902, 131]
[902, 217]
[902, 250]
[905, 337]
[910, 529]
[910, 768]
[913, 628]
[919, 245]
[92, 115]
[923, 423]
[924, 810]
[926, 912]
[931, 359]
[931, 9]
[936, 216]
[939, 978]
[941, 234]
[944, 820]
[945, 433]
[95, 711]
[955, 284]
[955, 551]
[959, 344]
[96, 306]
[960, 111]
[965, 541]
[965, 683]
[97, 297]
[97, 312]
[977, 344]
[978, 96]
[979, 353]
[980, 810]
[981, 455]
[981, 964]
[982, 671]
[984, 937]
[988, 367]
[990, 766]
[995, 913]
[997, 395]
[998, 355]
